岗位名称,类别,职位名称,所属地,专业学科,学历要求,岗位描述
中国人民财产保险股份有限公司山东省分公司2024年校园招聘,正式,法学,山东省,法学,本科及以上,（一）符合应届毕业生要求1.境内普通高等院校应届毕业生，2024年7月31日前毕业，获得国家认可的2024年度就业报到证、毕业证和学位证。2.初次就业的海外院校境外留学人员，在2023年7月至2024年6月期间取得学位证书，并取得国家教育部的学历认证。（二）符合各岗位学历及专业要求。（三）身体健康，体貌端正，遵纪守法，无不良行为记录。（四）有较好的沟通协调能力、语言表达能力、良好的团队合作精神，在校期间担任学生干部、获得奖学金及其他相关荣誉称号优先。
,正式,金融学,山东省,金融学,本科及以上,（一）符合应届毕业生要求1.境内普通高等院校应届毕业生，2024年7月31日前毕业，获得国家认可的2024年度就业报到证、毕业证和学位证。2.初次就业的海外院校境外留学人员，在2023年7月至2024年6月期间取得学位证书，并取得国家教育部的学历认证。（二）符合各岗位学历及专业要求。（三）身体健康，体貌端正，遵纪守法，无不良行为记录。（四）有较好的沟通协调能力、语言表达能力、良好的团队合作精神，在校期间担任学生干部、获得奖学金及其他相关荣誉称号优先。
,正式,车辆工程,山东省,车辆工程,本科及以上,（一）符合应届毕业生要求1.境内普通高等院校应届毕业生，2024年7月31日前毕业，获得国家认可的2024年度就业报到证、毕业证和学位证。2.初次就业的海外院校境外留学人员，在2023年7月至2024年6月期间取得学位证书，并取得国家教育部的学历认证。（二）符合各岗位学历及专业要求。（三）身体健康，体貌端正，遵纪守法，无不良行为记录。（四）有较好的沟通协调能力、语言表达能力、良好的团队合作精神，在校期间担任学生干部、获得奖学金及其他相关荣誉称号优先。
风电运维服务工程师,正式,运维工程师,全国,机械设计制造及其自动化,本科及以上,任职要求：1、 本科及以上学历，新能源科学与技术、风力发电技术、电气工程及其自动化、机电一体化、自动化、机械工程等相关专业毕业。2、 能适应长期出差，不恐高，出差地址为：山东、河北、陕西、山西、内蒙古、黑吉辽、宁夏、青海、新疆、河南、安徽、江苏、浙江、四川、广东等地。
,正式,运维工程师,全国,机械电子工程,本科及以上,任职要求：1、 本科及以上学历，新能源科学与技术、风力发电技术、电气工程及其自动化、机电一体化、自动化、机械工程等相关专业毕业。2、 能适应长期出差，不恐高，出差地址为：山东、河北、陕西、山西、内蒙古、黑吉辽、宁夏、青海、新疆、河南、安徽、江苏、浙江、四川、广东等地。
,正式,运维工程师,全国,能源与动力工程,本科及以上,任职要求：1、 本科及以上学历，新能源科学与技术、风力发电技术、电气工程及其自动化、机电一体化、自动化、机械工程等相关专业毕业。2、 能适应长期出差，不恐高，出差地址为：山东、河北、陕西、山西、内蒙古、黑吉辽、宁夏、青海、新疆、河南、安徽、江苏、浙江、四川、广东等地。
,正式,运维工程师,全国,电气工程及其自动化,本科及以上,任职要求：1、 本科及以上学历，新能源科学与技术、风力发电技术、电气工程及其自动化、机电一体化、自动化、机械工程等相关专业毕业。2、 能适应长期出差，不恐高，出差地址为：山东、河北、陕西、山西、内蒙古、黑吉辽、宁夏、青海、新疆、河南、安徽、江苏、浙江、四川、广东等地。
,正式,运维工程师,全国,自动化,本科及以上,任职要求：1、 本科及以上学历，新能源科学与技术、风力发电技术、电气工程及其自动化、机电一体化、自动化、机械工程等相关专业毕业。2、 能适应长期出差，不恐高，出差地址为：山东、河北、陕西、山西、内蒙古、黑吉辽、宁夏、青海、新疆、河南、安徽、江苏、浙江、四川、广东等地。
管培生,正式,机械设计制造及其自动化,济南市,机械设计制造及其自动化,本科及以上,不恐高，能适应外地工作
,正式,电气工程及其自动化,济南市,电气工程及其自动化,本科及以上,不恐高，能适应外地工作
会计,正式,会计,临沂市,不限专业,本科及以上,1、财务、会计专业，本科及以上学历2、了解会计管理和银行结算，账目日清月结，报表编制准确、及时；3、熟悉财务软件、Excel、Word等办公软件的操作；3、具有较强的独立学习和工作的能力，工作踏实，认真细心，积极主动；4、具有良好的职业操守及团队合作精神，较强的沟通、理解和分析能力。
工艺管理技术员,正式,项目工程师,德州市,材料成型及控制工程,本科及以上,-
数据库工程师,正式,数据库工程师,临沂市,计算机科学与技术,本科及以上,1.熟悉linux、windows等操作系统2.熟练掌握一种或几种常用数据库（mysql、oracle、mongodb）安装、配置、维护和调优。3.熟悉Hadoop、Hive、Redis、Kafka等主流大数据平台使用、监控及调优4.具有较强的数据库维护实战动手能力5.有一定的团队组织能力和良好的沟通协调能力
,正式,数据库工程师,临沂市,数据科学与大数据技术,本科及以上,1.熟悉linux、windows等操作系统2.熟练掌握一种或几种常用数据库（mysql、oracle、mongodb）安装、配置、维护和调优。3.熟悉Hadoop、Hive、Redis、Kafka等主流大数据平台使用、监控及调优4.具有较强的数据库维护实战动手能力5.有一定的团队组织能力和良好的沟通协调能力
机械技术员,正式,生产/制造,德州市,机械工程,本科及以上,1、国家统招学校，机械制造、机械设计等相关专业，本科及以上学历2、专业知识扎实，在校期间无不及格课程和违规记录，无不良嗜好
电气技术员,正式,生产/制造,德州市,不限专业,本科及以上,1.电气相关专业，本科及以上学历。2.熟悉电气、弱电调试操作。3.熟练运用OFFICE办公软件。
系统维护工程师,正式,系统工程师,德州市,网络工程,本科及以上,1.熟悉Vmware、OpenStack+KVM等主流虚拟化技术的特点，熟悉虚拟化平台的安装调试，熟悉虚拟化架构下的系统维护管理；2.对业界公有云，例如阿里云、腾讯云、AWS等平台有一定了解，有成功的业界混合云解决方案架构设计经验者优先；3.熟练掌握linux、windows等操作系统以及中间件的安装、使用。4.掌握联想、华为、IBM等品牌服务器的硬件安装、配置、维修。 5.对计算机网络和数据库技术有一定的基础；6.掌握IBM、曙光和华为等存储产品安装、使用。7.具有较强的系统维护实战动手能力8.有一定的团队组织能力和良好的沟通协调能力
,正式,系统工程师,德州市,计算机科学与技术,本科及以上,1.熟悉Vmware、OpenStack+KVM等主流虚拟化技术的特点，熟悉虚拟化平台的安装调试，熟悉虚拟化架构下的系统维护管理；2.对业界公有云，例如阿里云、腾讯云、AWS等平台有一定了解，有成功的业界混合云解决方案架构设计经验者优先；3.熟练掌握linux、windows等操作系统以及中间件的安装、使用。4.掌握联想、华为、IBM等品牌服务器的硬件安装、配置、维修。 5.对计算机网络和数据库技术有一定的基础；6.掌握IBM、曙光和华为等存储产品安装、使用。7.具有较强的系统维护实战动手能力8.有一定的团队组织能力和良好的沟通协调能力
软件开发,正式,Java开发工程师,德州市,不限专业,本科及以上,1、掌握java或者C#/.net开发语言，并熟练应用；2、熟悉MVC、ORM等常用框架；3、熟悉ajax、websocket、socket等网络通讯框架；4、掌握数据库设计和开发，能够独立编写存储过程和SQL语句；5、了解设计模式、微服务架构者优先考虑；6、能够独立解决技术难题和一些复杂业务的设计编码工作。
人文素养教师（全职）,正式,小学教师,江苏省 南京市 济南市 青岛市 烟台市 潍坊市,不限专业,本科及以上,1、本科及以上学历，汉语言文学专业、新闻传播类专业优先。2、持有教师资格证，有语文、国学等教学经验者优先。3、良好的文学功底，普通话流利标准，具备亲和力以及沟通能力，热爱教育行业。4、抗压能力强、责任感强。
初中学习机语文、数学、英语、化学教师（全职）,正式,中学教师,江苏省 南京市 山东省 济南市 青岛市 烟台市 潍坊市,不限专业,本科及以上,1、教育程度：本科及以上学历，应往届相关专业毕业生均可；非相关专业功底优秀者也可；2、经验：熟悉山东地区教材内容和教育特点，有教学经验者更佳；3、技能：良好的学科功底，思路清晰，具备良好的亲和力以及沟通能力，热爱教育行业；
市场专员,正式,咨询员,江苏省 南京市 山东省 济南市 青岛市 烟台市 潍坊市,不限专业,不限,1、本科及以上学历优先；2、熟练使用office等办公软件；3、良好的商务判断能力、议价能力、规划安排、沟通能力；4、具备相关工作经验者优先。
故事会英语阅读教师,正式,外语培训师,江苏省 南京市 山东省 济南市 青岛市 烟台市 潍坊市,不限专业,本科及以上,1、本科及以上学历，英语专业优先。2、了解6-12岁儿童心理，持有教师资格证，有教学经验者优先。3、良好的英文功底，普通话流利标准，具备亲和力以及沟通能力，热爱教育行业。4、抗压能力强、责任感强。
智力脑开发教师（全职）,正式,小学教师,江苏省 南京市 山东省 济南市 青岛市 烟台市 潍坊市,不限专业,本科及以上, 1、统招本科及以上学历； 2、专业背景：理工科背景（计算机、科学、物理、数学等）； 3、行业经验：具有数独、魔方、谜题等相关教学经验1年； 4、有较强的责任心，积极向上的工作态度，熟练使用办公软件； 5、抗压能力强，善于沟通协调及团队合作； 6、较强的学习能力和组织能力，能够独立完成数独课程方案；
课程顾问,正式,专业顾问,江苏省 南京市 山东省 济南市 青岛市 烟台市 潍坊市,不限专业,大专及以上,1、专科及以上学历，专业不限2、富有敬业精神，认同新东方文化，具备良好的客户思维及创新意识，具备一定的渠道开拓能力，销售技能;3、拥有1年以上销售运营工作经验优先考虑；4、团队合作能力、执行能力、管理能力强，诚实、守信、善于沟通;5、热爱教育工作，熟悉并认同新东方文化
雅思/托福老师,正式,外语培训师,济南市,不限专业,本科及以上,1、本科及以上学历，有海外留学或同行业工作经验者优先；2、托福总分90分及以上或雅思总分6.5分以上优先考虑；3、国内985或211硕士以上学历，英语相关专业，有教学经验优先考虑；4、中英文发音标准，语言表达能力强，具有很强的课堂表现力和控制力；5、普通话标准，沟通表达能力强，思维灵活，富有亲和力，有耐心和责任心；6、具备良好的教师责任心、社会责任感和客户服务意识，乐于知道帮助各类学员与家长。
高中一对一教师（全职）,正式,中学教师,江苏省 南京市 山东省 济南市 青岛市 烟台市 潍坊市,不限专业,本科及以上,1、教育程度：本科及以上学历，应往届相关专业毕业生均可；非相关专业功底优秀者也可；2、经验：熟悉山东地区教材内容和教育特点，有教学经验者更佳；3、技能：良好的学科功底，思路清晰，具备良好的亲和力以及沟通能力，热爱教育行业。
高中全科教师（寒假、春季全职）,正式,中学教师,江苏省 南京市 山东省 济南市 青岛市 烟台市 潍坊市,不限专业,本科及以上,1、教育程度：本科及以上学历，应往届相关专业毕业生均可；非相关专业功底优秀者也可；2、经验：熟悉山东地区教材内容和教育特点，有教学经验者更佳；3、技能：良好的学科功底，思路清晰，具备良好的亲和力以及沟通能力，热爱教育行业；
2024届软件开发实习生,正式,软件工程师,山东省 济南市,计算机类,本科及以上,-
,正式,软件工程师,山东省 济南市,计算机科学与技术,本科及以上,-
,正式,软件工程师,山东省 济南市,软件工程,本科及以上,-
,正式,软件工程师,山东省 济南市,网络工程,本科及以上,-
,正式,软件工程师,山东省 济南市,信息安全,本科及以上,-
,正式,软件工程师,山东省 济南市,物联网工程,本科及以上,-
,正式,软件工程师,山东省 济南市,智能科学与技术,本科及以上,-
,正式,软件工程师,山东省 济南市,网络空间安全,本科及以上,-
可研报告工程师,正式,项目工程师,济南市,土木工程,硕士及以上,1、本科及以上学历;2、专业要求：工程类相关专业;3、良好的团队合作精神及职业素养;4、年龄25-35岁。
,正式,项目工程师,济南市,土木、水利与海洋工程,硕士及以上,1、本科及以上学历;2、专业要求：工程类相关专业;3、良好的团队合作精神及职业素养;4、年龄25-35岁。
,正式,项目工程师,济南市,水利类,硕士及以上,1、本科及以上学历;2、专业要求：工程类相关专业;3、良好的团队合作精神及职业素养;4、年龄25-35岁。
,正式,项目工程师,济南市,水文与水资源工程,硕士及以上,1、本科及以上学历;2、专业要求：工程类相关专业;3、良好的团队合作精神及职业素养;4、年龄25-35岁。
水务师,正式,项目工程师,济南市,水利类,硕士及以上,1、硕士及以上学历，水利相关：水土保持与荒漠化防治、水文与水资源工程专业;2、年龄25-35之间;3、具备水保工程、咨询技巧等相关知识，有1年以上工作经验者或相关职称证者优先;4、具有较强的分析能力、文字编写能力，能独立编写水保表、水保书、洪评者优先;5、具有注册环境影响评价工程师、注册咨询工程师、造价师证书、建造师证书、监理师证书等优先考虑;
,正式,项目工程师,济南市,水利水电工程,硕士及以上,1、硕士及以上学历，水利相关：水土保持与荒漠化防治、水文与水资源工程专业;2、年龄25-35之间;3、具备水保工程、咨询技巧等相关知识，有1年以上工作经验者或相关职称证者优先;4、具有较强的分析能力、文字编写能力，能独立编写水保表、水保书、洪评者优先;5、具有注册环境影响评价工程师、注册咨询工程师、造价师证书、建造师证书、监理师证书等优先考虑;
,正式,项目工程师,济南市,水文与水资源工程,硕士及以上,1、硕士及以上学历，水利相关：水土保持与荒漠化防治、水文与水资源工程专业;2、年龄25-35之间;3、具备水保工程、咨询技巧等相关知识，有1年以上工作经验者或相关职称证者优先;4、具有较强的分析能力、文字编写能力，能独立编写水保表、水保书、洪评者优先;5、具有注册环境影响评价工程师、注册咨询工程师、造价师证书、建造师证书、监理师证书等优先考虑;
节能评估工程师,正式,项目工程师,济南市,土木工程,硕士及以上,1、有节能报告、节能验收报告或节能评审意见编制经验；2、能独立完成项目现场调研和报告编制；3、有较好的沟通协调、语言表达能力和团队合作精神；4、本科及以上学历；专业要求：工程类相关专业。
,正式,项目工程师,济南市,土木、水利与海洋工程,硕士及以上,1、有节能报告、节能验收报告或节能评审意见编制经验；2、能独立完成项目现场调研和报告编制；3、有较好的沟通协调、语言表达能力和团队合作精神；4、本科及以上学历；专业要求：工程类相关专业。
,正式,项目工程师,济南市,水文与水资源工程,硕士及以上,1、有节能报告、节能验收报告或节能评审意见编制经验；2、能独立完成项目现场调研和报告编制；3、有较好的沟通协调、语言表达能力和团队合作精神；4、本科及以上学历；专业要求：工程类相关专业。
Java开发工程师,正式,Java开发工程师,山东省 济南市,日语,本科及以上,"1) 应届本科及以上学历，计算机类、物联网、软件开发类、数学类、通信、自动化、网络工程、日语等相关专业2) 热爱软件开发并致力于长期发展 3)至少掌握一门开发语言（Java/.net/vb/c#/PHP/Python/…）,熟练使用一种开发工具。4) 较强的学习能力，沟通能力，团队协作能力。"
,正式,Java开发工程师,山东省 济南市,信息与计算科学,本科及以上,"1) 应届本科及以上学历，计算机类、物联网、软件开发类、数学类、通信、自动化、网络工程、日语等相关专业2) 热爱软件开发并致力于长期发展 3)至少掌握一门开发语言（Java/.net/vb/c#/PHP/Python/…）,熟练使用一种开发工具。4) 较强的学习能力，沟通能力，团队协作能力。"
软件测试,正式,系统测试,山东省 济南市,日语,本科及以上,"1) 应届本科及以上学历，计算机类、物联网、软件开发类、数学类、通信、自动化、网络工程、日语等相关专业2) 热爱软件开发并致力于长期发展 3)至少掌握一门开发语言（Java/.net/vb/c#/PHP/Python/…）,熟练使用一种开发工具。4) 较强的学习能力，沟通能力，团队协作能力。"
,正式,系统测试,山东省 济南市,机械电子工程,本科及以上,"1) 应届本科及以上学历，计算机类、物联网、软件开发类、数学类、通信、自动化、网络工程、日语等相关专业2) 热爱软件开发并致力于长期发展 3)至少掌握一门开发语言（Java/.net/vb/c#/PHP/Python/…）,熟练使用一种开发工具。4) 较强的学习能力，沟通能力，团队协作能力。"
,正式,系统测试,山东省 济南市,电子信息工程,本科及以上,"1) 应届本科及以上学历，计算机类、物联网、软件开发类、数学类、通信、自动化、网络工程、日语等相关专业2) 热爱软件开发并致力于长期发展 3)至少掌握一门开发语言（Java/.net/vb/c#/PHP/Python/…）,熟练使用一种开发工具。4) 较强的学习能力，沟通能力，团队协作能力。"
,正式,系统测试,山东省 济南市,信息与计算科学,本科及以上,"1) 应届本科及以上学历，计算机类、物联网、软件开发类、数学类、通信、自动化、网络工程、日语等相关专业2) 热爱软件开发并致力于长期发展 3)至少掌握一门开发语言（Java/.net/vb/c#/PHP/Python/…）,熟练使用一种开发工具。4) 较强的学习能力，沟通能力，团队协作能力。"
工程造价,正式,预结算员,济南市,工程管理,大专及以上,岗位要求：1、工程造价相关专业，统招专科及以上学历。2、熟练应用广联达软件。3、责任心强、能吃苦耐劳，有良好的团队意识和沟通能力。
,正式,预结算员,济南市,工程造价,大专及以上,岗位要求：1、工程造价相关专业，统招专科及以上学历。2、熟练应用广联达软件。3、责任心强、能吃苦耐劳，有良好的团队意识和沟通能力。
,正式,预结算员,济南市,建筑类,大专及以上,岗位要求：1、工程造价相关专业，统招专科及以上学历。2、熟练应用广联达软件。3、责任心强、能吃苦耐劳，有良好的团队意识和沟通能力。
,正式,预结算员,济南市,建筑学,大专及以上,岗位要求：1、工程造价相关专业，统招专科及以上学历。2、熟练应用广联达软件。3、责任心强、能吃苦耐劳，有良好的团队意识和沟通能力。
施工管理,正式,建筑安装施工员,济南市,工程管理,大专及以上,岗位要求：1、建筑类相关专业，统招专科及以上学历。2、有建筑类相关证件者优先。3、责任心强、能吃苦耐劳，有良好的团队意识和沟通能力。 
法务助理,正式,法务助理,济南市,法学类,本科及以上,1、法学或相关专业本科学历毕业，有房地产相关工作经验者优先；2、熟悉房地产政策法规，熟练运用合同法、经济法、房地产法等；3、具备较强的分析能力，并且学习能力强，非常良好的沟通能力及协调能力；4、该岗位可面向优秀应届毕业生
,正式,法务助理,济南市,法学,本科及以上,1、法学或相关专业本科学历毕业，有房地产相关工作经验者优先；2、熟悉房地产政策法规，熟练运用合同法、经济法、房地产法等；3、具备较强的分析能力，并且学习能力强，非常良好的沟通能力及协调能力；4、该岗位可面向优秀应届毕业生
行政管理类,正式,行政专员/助理,济南,不限专业,本科及以上,1、熟悉办公室行政管理知识及工作流程，熟悉公文写作格式，具备基本商务信函写作能力，熟练运用OFFICE等办公软件；2、工作仔细认真、责任心强、为人正直，具备较强的书面和口头表达能力；3、成绩有意者，学生干部，党员优先录用；
财务人员,正式,财务,济南市,经济学类,本科及以上,岗位要求：1、财务相关专业，统招本科及以上学历。2、较强的敬业精神与责任，工作原则性强良好的团队合作意识。
,正式,财务,济南市,经济学,本科及以上,岗位要求：1、财务相关专业，统招本科及以上学历。2、较强的敬业精神与责任，工作原则性强良好的团队合作意识。
,正式,财务,济南市,经济统计学,本科及以上,岗位要求：1、财务相关专业，统招本科及以上学历。2、较强的敬业精神与责任，工作原则性强良好的团队合作意识。
,正式,财务,济南市,财政学,本科及以上,岗位要求：1、财务相关专业，统招本科及以上学历。2、较强的敬业精神与责任，工作原则性强良好的团队合作意识。
人事助理,实习,人事专员,山东省 济南市,不限专业,大专及以上,1、专科及以上学历，男女不限；2、对招聘营销化有一定的理解；3、有良好的解决问题思维和能力，优秀的沟通表达能力；4、积极主动，责任心强，工作踏实，有较好的抗压能力。
客服专员,正式,实习生,山东省 济南市,不限专业,大专及以上,1、专科及以上学历，男女不限；2、有良好的解决问题思维和能力，优秀的沟通表达能力；3、积极主动，责任心强，工作踏实，有较好的抗压能力。
计算机专业课教师,正式,职业技术教师,山东省 济南市,计算机类,本科及以上,1、品质良好，有团队协作意识。普通话标准，口齿清晰，思维敏捷，沟通能力强。2、专业对口，本科及以上学历，取得相关技能等级证书优先。3、熟练把握国家关于春季高考考试大纲要求，具有一年以上春季高考教学经验。4、熟悉办公软件，能够独立教案编辑。5、相关专业方向的工作岗位有过3年以上工作经历的优先。
网络运营,正式,运营,济南市,不限专业,不限,男女不限性格开朗外向工作认真
销售客服,正式,销售专员,济南市,不限专业,不限,任职要求：1.有销售相关经验优先，明确从事销售岗的求职意向2.有良好的沟通能力和客户服务意识。3.年龄25-35岁，性格随和健谈，善于交流沟通。
管培生,正式,保险理赔,济南市,数学与应用数学,本科及以上,1、2023届本科及以上学历，数统类、经济类、理工科类专业优先；2、需熟练掌握SQL、Python、Excel基本语句，有统计建模基础和数据分析工作经验者优先；3、具有较强的数据分析能力、逻辑性强，工作认真，细致。能够独立思考、自我提升。
,正式,保险理赔,济南市,信息与计算科学,本科及以上,1、2023届本科及以上学历，数统类、经济类、理工科类专业优先；2、需熟练掌握SQL、Python、Excel基本语句，有统计建模基础和数据分析工作经验者优先；3、具有较强的数据分析能力、逻辑性强，工作认真，细致。能够独立思考、自我提升。
,正式,保险理赔,济南市,应用统计学,本科及以上,1、2023届本科及以上学历，数统类、经济类、理工科类专业优先；2、需熟练掌握SQL、Python、Excel基本语句，有统计建模基础和数据分析工作经验者优先；3、具有较强的数据分析能力、逻辑性强，工作认真，细致。能够独立思考、自我提升。
,正式,保险理赔,济南市,计算机类,本科及以上,1、2023届本科及以上学历，数统类、经济类、理工科类专业优先；2、需熟练掌握SQL、Python、Excel基本语句，有统计建模基础和数据分析工作经验者优先；3、具有较强的数据分析能力、逻辑性强，工作认真，细致。能够独立思考、自我提升。
,正式,保险理赔,济南市,网络工程,本科及以上,1、2023届本科及以上学历，数统类、经济类、理工科类专业优先；2、需熟练掌握SQL、Python、Excel基本语句，有统计建模基础和数据分析工作经验者优先；3、具有较强的数据分析能力、逻辑性强，工作认真，细致。能够独立思考、自我提升。
车物查勘定损岗,正式,保险理赔,济南市 淄博市 枣庄市 东营市 烟台市 潍坊市 济宁市 泰安市 威海市 日照市 临沂市 德州市 聊城市 滨州市 菏泽市,机械设计制造及其自动化,本科及以上,-
,正式,保险理赔,济南市 淄博市 枣庄市 东营市 烟台市 潍坊市 济宁市 泰安市 威海市 日照市 临沂市 德州市 聊城市 滨州市 菏泽市,车辆工程,本科及以上,-
,正式,保险理赔,济南市 淄博市 枣庄市 东营市 烟台市 潍坊市 济宁市 泰安市 威海市 日照市 临沂市 德州市 聊城市 滨州市 菏泽市,汽车服务工程,本科及以上,-
招生顾问,正式,专业顾问,济南市,不限专业,不限,1、专科以上学历，计算机相关专业优先2、具有亲和力，性格外向，反应敏捷、表达能力强，具有较强的沟通能力及交际技巧3、有很强销售意识，敢于接受挑战，学习能力强4、热爱销售工作，心理健康，有较强的抗压能力5、有过招生经验，业绩突出者优先
讲师助教,正式,讲师/助教,济南市,信息与计算科学,本科及以上,1、本科以上学历；2、相关专业毕业且在校期间项目经验，有相关参赛经验更佳；3、要求细心、踏实、认真，良好的沟通及协调能力；4、有强烈的敬业精神，责任心强，抗压能力强；5、熟悉计算机软硬件基础知识；6、有成为讲师的职业规划并可以长期在公司服务；
【机械工程师】,正式,科研,济南市,机械工程,本科及以上,-
,正式,科研,济南市,机械设计制造及其自动化,本科及以上,-
,正式,科研,济南市,工业设计,本科及以上,-
,正式,科研,济南市,工业设计工程,本科及以上,-
【软件工程师】,正式,编程/IT开发,济南市,物联网工程,本科及以上,【岗位要求】：1、大专以上学历，熟悉常用数据库及苹果手机开发，有计算机语言者优先(C语言、C++、C#、JAVA、Net、PHP等)；2、应往届理工类毕业生优先，计算机、软件工程、电子信息、机械、自动化等相关专业均可；3、具有良好的语言表达本和沟通能力，富有进取心，能承受一定的工作压力；4、提供应届毕业生、实习生岗位。
,正式,编程/IT开发,济南市,计算机应用技术,本科及以上,【岗位要求】：1、大专以上学历，熟悉常用数据库及苹果手机开发，有计算机语言者优先(C语言、C++、C#、JAVA、Net、PHP等)；2、应往届理工类毕业生优先，计算机、软件工程、电子信息、机械、自动化等相关专业均可；3、具有良好的语言表达本和沟通能力，富有进取心，能承受一定的工作压力；4、提供应届毕业生、实习生岗位。
,正式,编程/IT开发,济南市,计算机科学与技术,本科及以上,【岗位要求】：1、大专以上学历，熟悉常用数据库及苹果手机开发，有计算机语言者优先(C语言、C++、C#、JAVA、Net、PHP等)；2、应往届理工类毕业生优先，计算机、软件工程、电子信息、机械、自动化等相关专业均可；3、具有良好的语言表达本和沟通能力，富有进取心，能承受一定的工作压力；4、提供应届毕业生、实习生岗位。
,正式,编程/IT开发,济南市,软件工程,本科及以上,【岗位要求】：1、大专以上学历，熟悉常用数据库及苹果手机开发，有计算机语言者优先(C语言、C++、C#、JAVA、Net、PHP等)；2、应往届理工类毕业生优先，计算机、软件工程、电子信息、机械、自动化等相关专业均可；3、具有良好的语言表达本和沟通能力，富有进取心，能承受一定的工作压力；4、提供应届毕业生、实习生岗位。
仪器研发工程师,正式,医疗/健康,济南市,机械设计制造及其自动化,本科及以上,-
,正式,医疗/健康,济南市,机械电子工程,本科及以上,-
,正式,医疗/健康,济南市,仪器类,本科及以上,-
